qdir,q_files,q_size_mb,base_files,q_match,q_only,match_pct
qwen_projects,94,273.97,72,0,94,0.0
qwen_debug,43,17.34,46,0,43,0.0
qwen_skills,42,0.34,196,0,42,0.0
qwen_docs,31,0.21,50,0,31,0.0
qwen_superpowers,34,0.2,502,0,34,0.0
qwen_integrations,46,0.19,494,0,46,0.0
qwen_agents,46,0.18,23,0,46,0.0
qwen_security-guidance,5,0.03,33,0,5,0.0
qwen_code-review,3,0.02,153,0,3,0.0
qwen_templates,5,0.01,27,0,5,0.0
qwen_benchmarks,1,0.0,73,0,1,0.0
qwen_evaluations,0,0.0,118,0,0,0.0
qwen_plans,0,0.0,13,0,0,0.0
qwen_research,1,0.0,27,0,1,0.0
